Date,AAPL_PX_LAST,SPX_PX_LAST
10/10/2012,83.3925,1432.56
10/11/2012,81.7257,1432.84
10/12/2012,81.9357,1428.59
10/15/2012,82.5923,1440.13
10/16/2012,84.5483,1454.92
10/17/2012,83.8744,1460.91
10/18/2012,82.3164,1457.34
10/19/2012,79.3498,1433.19
10/22/2012,82.4973,1433.82
10/23/2012,79.8072,1413.11
10/24/2012,80.2593,1408.75
10/25/2012,79.3105,1412.97
10/26/2012,78.5899,1411.94
10/31/2012,77.4605,1412.16
11/1/2012,77.6193,1427.59
11/2/2012,75.0508,1414.2
11/5/2012,76.0684,1417.26
11/6/2012,75.8379,1428.39
11/7/2012,72.9365,1394.53
11/8/2012,70.2893,1377.51
11/9/2012,71.5062,1379.85
11/12/2012,70.9533,1380.03
11/13/2012,70.9622,1374.53
11/14/2012,70.1756,1355.49
11/15/2012,68.7038,1353.33
11/16/2012,68.9728,1359.88
11/19/2012,73.9466,1386.89
11/20/2012,73.317,1387.81
11/21/2012,73.4198,1391.03
11/23/2012,74.7008,1409.15
11/26/2012,77.0575,1406.29
11/27/2012,76.4366,1398.94
11/28/2012,76.1961,1409.93
11/29/2012,77.0353,1415.95
11/30/2012,76.502,1416.18
12/3/2012,76.6209,1409.46
12/4/2012,75.2688,1407.05
12/5/2012,70.4256,1409.28
12/6/2012,71.5304,1413.94
12/7/2012,69.7011,1418.07
12/10/2012,69.2529,1418.55
12/11/2012,70.7649,1427.84
12/12/2012,70.4527,1428.48
12/13/2012,69.2358,1419.45
12/14/2012,66.6352,1413.58
12/17/2012,67.8163,1430.36
12/18/2012,69.7861,1446.79
12/19/2012,68.794,1435.81
12/20/2012,68.1954,1443.69
12/21/2012,67.8817,1430.15
12/24/2012,67.9912,1426.66
12/26/2012,67.0542,1419.83
12/27/2012,67.3235,1418.1
12/28/2012,66.6084,1402.43
12/31/2012,69.5604,1426.19
1/2/2013,71.7637,1462.42
1/3/2013,70.8574,1459.37
1/4/2013,68.8842,1466.47
1/7/2013,68.479,1461.89
1/8/2013,68.6633,1457.15
1/9/2013,67.5902,1461.02
1/10/2013,68.428,1472.12
1/11/2013,68.0084,1472.05
1/14/2013,65.5838,1470.68
1/15/2013,63.5146,1472.34
1/16/2013,66.1511,1472.63
1/17/2013,65.7053,1480.94
1/18/2013,65.355,1485.98
1/22/2013,65.9785,1492.56
1/23/2013,67.1856,1494.81
1/24/2013,58.8849,1494.82
1/25/2013,57.4967,1502.96
1/28/2013,58.7973,1500.18
1/29/2013,59.9005,1507.84
1/30/2013,59.7123,1501.96
1/31/2013,59.5371,1498.11
2/1/2013,59.2927,1513.17
2/4/2013,57.8152,1495.71
2/5/2013,59.8448,1511.29
2/6/2013,59.7802,1512.12
2/7/2013,61.5577,1509.39
2/8/2013,62.4465,1517.93
2/11/2013,63.0973,1517.01
2/12/2013,61.5157,1519.43
2/13/2013,61.3987,1520.33
2/14/2013,61.3434,1521.38
2/15/2013,60.4981,1519.79
2/19/2013,60.4757,1530.94
2/20/2013,59.0111,1511.95
2/21/2013,58.6443,1502.42
2/22/2013,59.2688,1515.6
2/25/2013,58.2157,1487.85
2/26/2013,59.0269,1496.94
2/27/2013,58.4484,1515.99
2/28/2013,58.0317,1514.68
3/1/2013,56.5947,1518.2
3/4/2013,55.2247,1525.2
3/5/2013,56.6833,1539.79
3/6/2013,55.9626,1541.46
3/7/2013,56.6094,1544.26
3/8/2013,56.759,1551.18
3/11/2013,57.5676,1556.22
3/12/2013,56.3265,1552.48
3/13/2013,56.316,1554.52
3/14/2013,56.8616,1563.23
3/15/2013,58.3288,1560.7
3/18/2013,59.9143,1552.1
3/19/2013,59.7526,1548.34
3/20/2013,59.4358,1558.71
3/21/2013,59.5212,1545.8
3/22/2013,60.7282,1556.89
3/25/2013,60.9477,1551.69
3/26/2013,60.6264,1563.77
3/27/2013,59.4358,1562.85
3/28/2013,58.1973,1569.19
4/1/2013,56.3896,1562.17
4/2/2013,56.5055,1570.25
4/3/2013,56.7945,1553.69
4/4/2013,56.2331,1559.98
4/5/2013,55.6389,1553.28
4/8/2013,56.0346,1563.07
4/9/2013,56.1358,1568.61
4/10/2013,57.281,1587.73
4/11/2013,57.1022,1593.37
4/12/2013,56.5066,1588.85
4/15/2013,55.1985,1552.36
4/16/2013,56.0386,1574.57
4/17/2013,52.9569,1552.01
4/18/2013,51.5435,1541.61
4/19/2013,51.3437,1555.25
4/22/2013,52.4139,1562.5
4/23/2013,53.3947,1578.78
4/24/2013,53.3068,1578.79
4/25/2013,53.6905,1585.16
4/26/2013,54.8507,1582.24
4/29/2013,56.5487,1593.61
4/30/2013,58.2131,1597.57
5/1/2013,57.7543,1582.7
5/2/2013,58.5733,1597.59
5/3/2013,59.1597,1614.42
5/6/2013,60.5704,1617.5
5/7/2013,60.3006,1625.96
5/8/2013,60.9819,1632.69
5/9/2013,60.4499,1626.67
5/10/2013,59.947,1633.7
5/13/2013,60.1812,1633.77
5/14/2013,58.7413,1650.34
5/15/2013,56.7549,1658.78
5/16/2013,57.5129,1650.47
5/17/2013,57.3385,1667.47
5/20/2013,58.6183,1666.29
5/21/2013,58.1855,1669.16
5/22/2013,58.4097,1655.35
5/23/2013,58.5137,1650.51
5/24/2013,58.9121,1649.6
5/28/2013,58.4209,1660.06
5/29/2013,58.8856,1648.36
5/30/2013,59.763,1654.41
5/31/2013,59.5189,1630.74
6/3/2013,59.6492,1640.42
6/4/2013,59.4626,1631.38
6/5/2013,58.9068,1608.9
6/6/2013,58.0267,1622.56
6/7/2013,58.4702,1643.38
6/10/2013,58.0836,1642.81
6/11/2013,57.9129,1626.13
6/12/2013,57.1969,1612.52
6/13/2013,57.6965,1636.36
6/14/2013,56.9137,1626.73
6/17/2013,57.1718,1639.04
6/18/2013,57.1413,1651.81
6/19/2013,55.9807,1628.93
6/20/2013,55.1652,1588.19
6/21/2013,54.7234,1592.43
6/24/2013,53.273,1573.09
6/25/2013,53.2849,1588.03
6/26/2013,52.6814,1603.26
6/27/2013,52.1137,1613.2
6/28/2013,52.4776,1606.28
7/1/2013,54.157,1614.96
7/2/2013,55.3838,1614.08
7/3/2013,55.6895,1615.41
7/5/2013,55.2422,1631.89
7/8/2013,54.9286,1640.46
7/9/2013,55.8947,1652.32
7/10/2013,55.6803,1652.62
7/11/2013,56.5482,1675.02
7/12/2013,56.4452,1680.19
7/15/2013,56.5683,1682.5
7/16/2013,56.9329,1676.26
7/17/2013,56.9481,1680.91
7/18/2013,57.1397,1689.37
7/19/2013,56.2388,1692.09
7/22/2013,56.4187,1695.53
7/23/2013,55.45,1692.39
7/24/2013,58.298,1685.94
7/25/2013,58.032,1690.25
7/26/2013,58.3615,1691.65
7/29/2013,59.2614,1685.33
7/30/2013,59.9933,1685.96
7/31/2013,59.8888,1685.73
8/1/2013,60.4374,1706.87
8/2/2013,61.2135,1709.67
8/5/2013,62.128,1707.14
8/6/2013,61.5721,1697.37
8/7/2013,61.5364,1690.91
8/8/2013,61.4138,1697.48
8/9/2013,60.54,1691.42
8/12/2013,62.2598,1689.47
8/13/2013,65.2185,1694.16
8/14/2013,66.4081,1685.39
8/15/2013,66.3295,1661.32
8/16/2013,66.9183,1655.83
8/19/2013,67.639,1646.06
8/20/2013,66.7505,1652.35
8/21/2013,66.9223,1642.8
8/22/2013,67.0023,1656.96
8/23/2013,66.7438,1663.5
8/26/2013,67.0036,1656.78
8/27/2013,65.0879,1630.48
